email,password,organisationName,role
greenearthfoundation@demo.org,Demopass!23,Green Earth Foundation,organisation
communitydevelopmentnetwork@demo.org,Demopass!23,Community Development Network,organisation
youthempowermentinitiative@demo.org,Demopass!23,Youth Empowerment Initiative,organisation
healthforall@demo.org,Demopass!23,Health for All,organisation
womenintech@demo.org,Demopass!23,Women in Tech,organisation
climateactiongroup@demo.org,Demopass!23,Climate Action Group,organisation
socialinclusionalliance@demo.org,Demopass!23,Social Inclusion Alliance,organisation
educationfortomorrow@demo.org,Demopass!23,Education for Tomorrow,organisation
humanrightswatchers@demo.org,Demopass!23,Human Rights Watchers,organisation
economicdevelopmentforum@demo.org,Demopass!23,Economic Development Forum,organisation 
