"id","email","password","organisationName","role"
"weLLSyVLcLV7jsjOSb6HhbsOzcf2","greenearthfoundation@demo.org","Demopass!23","Green Earth Foundation","organisation"
"V5S5D60psPM998dJeJ6p0abzFhO2","communitydevelopmentnetwork@demo.org","Demopass!23","Community Development Network","organisation"
"ucj2M7ucYyVrFegG7NJNwzC3a1E2","youthempowermentinitiative@demo.org","Demopass!23","Youth Empowerment Initiative","organisation"
"ZugA3LBcmjTRV05C00U7TDNwYp32","healthforall@demo.org","Demopass!23","Health for All","organisation"
"xAVn8X1MAwci9QlkfNWrbLPzeht1","womenintech@demo.org","Demopass!23","Women in Tech","organisation"
"dtUHL09sI7gNICLCeerPPYsCQWm1","climateactiongroup@demo.org","Demopass!23","Climate Action Group","organisation"
"7hEDtIaWVdZSptnbCwqwEvGPvjo1","socialinclusionalliance@demo.org","Demopass!23","Social Inclusion Alliance","organisation"
"IG4dDkMudNZHXKqXGgeY9iM2plE3","educationfortomorrow@demo.org","Demopass!23","Education for Tomorrow","organisation"
"ttuQoqXPPdV513wEXmSLIG0PiAy2","humanrightswatchers@demo.org","Demopass!23","Human Rights Watchers","organisation"
"fXABg0W4imf2y36gPUFxWfbK0Ih2","economicdevelopmentforum@demo.org","Demopass!23","Economic Development Forum","organisation "
